"","DateTime","CU.SDDR..BHZ.M.x","CU.ANWB..BHZ.M","CU.BBGH..BHZ.M","CU.BCIP..BHZ.M","CU.GRGR..BHZ.M","CU.GRTK..BHZ.M","CU.GTBY..BHZ.M","CU.MTDJ..BHZ.M","CU.SDDR..BHZ.M.y","DR.SDD..BHZ.M","G.FDF.00.BHZ.M","G.HDC.00.BHZ.M","II.JTS.00.BHZ.M","II.JTS.10.BHZ.M","IU.BBSR.00.BHZ.M","IU.BBSR.10.BHZ.M","IU.DWPF.00.BHZ.M","IU.SDV.00.BHZ.M","IU.SDV.10.BHZ.M","NA.SABA..BHZ.M","PR.ABVI..BHZ.M","PR.AGPR..BHZ.M","PR.AOPR..BHZ.M","PR.CBYP..BHZ.M","PR.CDVI..BHZ.M","PR.CRPR..BHZ.M","PR.HUMP..BHZ.M","PR.MPR..BHZ.M","PR.MTP..BHZ.M","PR.OBIP..BHZ.M","PR.PCDR..BHZ.M"
"1",2010-01-12 21:00:00,2284.15,2786.225,-4996.025,878.075,2086.775,2735.925,-2028.7,4289.025,2284.15,868.8,143.7,1819,-249.8,1599.7,43489.325,20187.425,116517.85,-294163.05,5861.2,1790.8,-1207.9,2281.75,-342,-51041.85,-13010.7619047619,2855.3,-1549.8,-5450.7619047619,3114.55,-12057.1,1016.6
"2",2010-01-12 21:00:01,4947.4,2115.05,-5712.9,-151.1,1656.65,-1873.475,-449.1,3716.475,4947.4,993.32,-667.95,2022.5,887.4,2206.425,32778.35,9573.975,116517.65,-294303.25,5094.775,2000.7,1041.85,1032.55,-30.75,-51017.25,-13164.85,2860.35,-1701.4,-4868.45,2914.9,-12028.05,458.1
"3",2010-01-12 21:00:02,2844.675,-82.45,5220.05,2176.875,911.275,-2700.175,1572.575,-3363.075,2844.675,837.52,524.15,961.35,1658.5,2565.9,3842.6,-19021.35,116518.75,-294280.25,5169.625,2227.225,1267,1846.15,-276.6,-50634.35,-13326.25,2907.9,-2073.25,-6332.75,2189.15,-12620.15,386.75
"4",2010-01-12 21:00:03,2099.075,-238.3,2197.5,2500.45,296.6,2806.25,-1038.725,3636.275,2099.075,1089.98,-344.75,109.85,4014.95,3641.575,13129.025,-9577.3,116517.5,-294207.3,6342.075,1802.35,-954.55,1759.75,-712.35,-50303.1,-13206.95,3148.55,-1944.15,-6519.75,2253.2,-12190.9,369.65
"5",2010-01-12 21:00:04,3589.7,835.7,-1784.7,3125.425,1264.5,992.125,-2711.525,5768.125,3589.7,1147.96,-25.9,3372.8,5030.5,4031.725,49977.1,26776.8,116518.55,-294358.65,5497.1,1901.175,162.85,1702.55,-610.7,-51013.3,-12984.35,2968.1,-1593.8,-5007.5,3212.85,-11928.6,1176.55
"6",2010-01-12 21:00:05,3539.75,3642.875,-3700,-2184.05,2039.95,1261.9,1030.4,25.275,3539.75,961.04,-179.25,2562.35,3103.45,3062.025,39696.05,16542.325,116517.65,-294435.95,4561.3,1958.225,1147.1,2025.4,-274.4,-51403.1,-13224.55,2703.55,-1658.25,-5143.35,2971.65,-11956,800.7
"7",2010-01-12 21:00:06,2927.05,139.775,1164.725,2113.675,830.525,-513.925,130.4,-1894.875,2927.05,1148.28,-498.4,2446.4,791.95,2042.925,12836.5,-10404.25,116518.9,-294336.15,5560.1,1584.3,507.05,919.8,-398.2,-50721.7,-13399.2,2958.25,-1859.35,-5431.05,2283,-12414.2,315.85
"8",2010-01-12 21:00:07,2835.95,-1691.6,-2325.75,4067.375,161.6,-1707.8,-1917.475,3406.4,2835.95,949.56,162.1,1326,-497.5,1514.875,25870.875,2671.85,116516.8,-294367.75,5759.225,1809.05,-209.05,1853.45,-584,-50384.9,-13136.9,3032.5,-1925.05,-6189.35,2505.35,-12403.95,348.4
"9",2010-01-12 21:00:08,2942.625,2257.475,1544.2,1305.475,2488.875,1817.175,574.9,5974.1,2942.625,753.46,61.5,-560.4,274.95,1952,35481.875,12071.375,116517.3,-294437.6,5418.25,1816.7,211.15,2530.45,-738.2,-51072.75,-13215.3,3021.85,-1939.25,-5588.4,2867.65,-11825.85,898.2
"10",2010-01-12 21:00:09,3434.875,4065.125,5979.775,771.725,-848.825,-247.5,429.3,-426.95,3434.875,651.56,-995.05,1344.2,3331.45,3351.5,15075.675,-8066.575,116517.7,-294469.4,5300.05,2341.3,126.25,1020.35,-460.9,-51162.5,-13230.8,2615.9,-1681.2,-5172.55,2909.45,-12102,778.35
"11",2010-01-12 21:00:10,3837.925,595.65,-7851.7,-637.95,4026.125,310.8,-2597.1,-287.625,3837.925,718.58,-416.35,2765.6,4085.3,3647.2,21553.95,-1100,116517.15,-294481.2,5269.6,2279.25,723.7,1633,-213.3,-50406.7,-13221.7,2873.5,-1585.6,-4732.9,2732.75,-12362.25,499.55
"12",2010-01-12 21:00:11,2369.075,-2488.6,-1039.125,3952.075,-1234.3,1496.1,-776.725,4889.425,2369.075,616.02,641.7,2894.3,4846.75,3956.1,43267.775,19727.1,116517.8,-294426.85,6151.775,1663.3,189.8,873.95,-714.15,-50539.5,-13186.1,2863.75,-2052.45,-5758.45,2137.25,-11967.4,183.6
"13",2010-01-12 21:00:12,3479.8,581.25,2840.05,1549.25,2217.05,-1396.525,1126.275,821.525,3479.8,367.1,442.8,1079.45,3503.8,3220.625,22843.55,-190.2,116517.45,-294464.45,6369.625,1359.25,857.6,3159.25,-544.55,-51442.85,-13264.85,2927.25,-1968,-6227.3,2774.9,-12296.7,575.75
"14",2010-01-12 21:00:13,4220.525,4613.775,-248.025,1646.025,-371.4,830.075,-439.275,2009.825,4220.525,230.78,-793.25,239.35,-2051.5,726.725,29087.725,6030.975,116517.238095238,-294659.1,4791.475,1955.625,-698.55,1207.15,-586.45,-50627.9,-13258.9,2989.1,-1614.95,-5153.25,3156.95,-12125.6,1187.05
"15",2010-01-12 21:00:14,2159.4,1455.56097560976,1225.14634146341,1668.575,2694.9,1521,-1876.075,246.95,2159.4,221.94,-423.85,3002.85,-587.25,1603.975,25887.575,2476.9,116517.75,-294686,4066.2,2267.95,401.35,1179.4,-728.75,-50537.5,-13147.3,2661.3,-1544.25,-5148.85,2502.9,-11933.35,308.35
"16",2010-01-12 21:00:15,3055.975,-1897.15,-6345.7,815.175,644.525,1491.15,-105.775,2703.875,3055.975,333.88,42.25,74.25,3732.9,3550.1,17521.4,-5278.325,116517.4,-294521.7,5686.7,1971.625,931.05,1359.55,-468.05,-50931.5,-13130.35,2801.55,-2011.55,-5786.2,2540.75,-12535.35,368.9
