"","DateTime","CU.GTBY..BHZ.M"
"1",2010-01-12 21:00:00,-2028.7
"2",2010-01-12 21:00:01,-449.1
"3",2010-01-12 21:00:02,1572.575
"4",2010-01-12 21:00:03,-1038.725
"5",2010-01-12 21:00:04,-2711.525
"6",2010-01-12 21:00:05,1030.4
"7",2010-01-12 21:00:06,130.4
"8",2010-01-12 21:00:07,-1917.475
"9",2010-01-12 21:00:08,574.9
"10",2010-01-12 21:00:09,429.3
"11",2010-01-12 21:00:10,-2597.1
"12",2010-01-12 21:00:11,-776.725
"13",2010-01-12 21:00:12,1126.275
"14",2010-01-12 21:00:13,-439.275
"15",2010-01-12 21:00:14,-1876.075
"16",2010-01-12 21:00:15,-105.775
"17",2010-01-12 21:00:16,1115.25
"18",2010-01-12 21:00:17,-1437.325
"19",2010-01-12 21:00:18,-1387.025
"20",2010-01-12 21:00:19,234.05
"21",2010-01-12 21:00:20,401.85
"22",2010-01-12 21:00:21,-1178.125
"23",2010-01-12 21:00:22,-985.55
"24",2010-01-12 21:00:23,-108.075
"25",2010-01-12 21:00:24,-65.775
"26",2010-01-12 21:00:25,-1006.275
"27",2010-01-12 21:00:26,-161.1
"28",2010-01-12 21:00:27,-1142.25
"29",2010-01-12 21:00:28,-1543
"30",2010-01-12 21:00:29,1542.15
"31",2010-01-12 21:00:30,-231.55
"32",2010-01-12 21:00:31,-1551.45
"33",2010-01-12 21:00:32,-47.95
"34",2010-01-12 21:00:33,-919.975
"35",2010-01-12 21:00:34,-351.35
"36",2010-01-12 21:00:35,-289.55
"37",2010-01-12 21:00:36,-1569.4
"38",2010-01-12 21:00:37,1645.375
"39",2010-01-12 21:00:38,-909.025
"40",2010-01-12 21:00:39,-1335.3
"41",2010-01-12 21:00:40,-1719.9
"42",2010-01-12 21:00:41,527.7
"43",2010-01-12 21:00:42,759.6
"44",2010-01-12 21:00:43,-528.275
"45",2010-01-12 21:00:44,-1121.9
"46",2010-01-12 21:00:45,-2323.45
"47",2010-01-12 21:00:46,539.325
"48",2010-01-12 21:00:47,1432.525
"49",2010-01-12 21:00:48,-1661.85
"50",2010-01-12 21:00:49,-1241.75
"51",2010-01-12 21:00:50,98.15
"52",2010-01-12 21:00:51,-534.375
"53",2010-01-12 21:00:52,-818.025
"54",2010-01-12 21:00:53,624.3
"55",2010-01-12 21:00:54,-306.775
"56",2010-01-12 21:00:55,-1791.8
"57",2010-01-12 21:00:56,-2416.275
"58",2010-01-12 21:00:57,1727.5
"59",2010-01-12 21:00:58,1794.375
"60",2010-01-12 21:00:59,-2211
"61",2010-01-12 21:01:00,-1810.95
"62",2010-01-12 21:01:01,-44.45
"63",2010-01-12 21:01:02,-164.3
"64",2010-01-12 21:01:03,382.2
"65",2010-01-12 21:01:04,-1733.025
"66",2010-01-12 21:01:05,263.3
"67",2010-01-12 21:01:06,501.475
"68",2010-01-12 21:01:07,-2022.275
"69",2010-01-12 21:01:08,-2375.25
"70",2010-01-12 21:01:09,1654.275
"71",2010-01-12 21:01:10,-301.3
"72",2010-01-12 21:01:11,-996.8
"73",2010-01-12 21:01:12,389.75
"74",2010-01-12 21:01:13,-964.475
"75",2010-01-12 21:01:14,-1996.2
"76",2010-01-12 21:01:15,1206.85
"77",2010-01-12 21:01:16,1543.1
"78",2010-01-12 21:01:17,-3537.6
"79",2010-01-12 21:01:18,-1540.325
"80",2010-01-12 21:01:19,1918.175
"81",2010-01-12 21:01:20,665.775
"82",2010-01-12 21:01:21,-2318.125
"83",2010-01-12 21:01:22,-1908
"84",2010-01-12 21:01:23,172.625
"85",2010-01-12 21:01:24,1264.7
"86",2010-01-12 21:01:25,-2227.55
"87",2010-01-12 21:01:26,-345.6
"88",2010-01-12 21:01:27,1645.475
"89",2010-01-12 21:01:28,-1064.225
"90",2010-01-12 21:01:29,-2740.575
"91",2010-01-12 21:01:30,472.75
"92",2010-01-12 21:01:31,258.1
"93",2010-01-12 21:01:32,-1538.275
"94",2010-01-12 21:01:33,302.825
"95",2010-01-12 21:01:34,1579.225
"96",2010-01-12 21:01:35,-3254.575
"97",2010-01-12 21:01:36,-1239.875
"98",2010-01-12 21:01:37,1360.075
"99",2010-01-12 21:01:38,-1915.65
"100",2010-01-12 21:01:39,506.35
"101",2010-01-12 21:01:40,904.3
"102",2010-01-12 21:01:41,-1710.875
"103",2010-01-12 21:01:42,-1352.3
"104",2010-01-12 21:01:43,291.575
"105",2010-01-12 21:01:44,-74.075
"106",2010-01-12 21:01:45,-2207.45
"107",2010-01-12 21:01:46,284.475
"108",2010-01-12 21:01:47,1276.8
"109",2010-01-12 21:01:48,-2491.7
"110",2010-01-12 21:01:49,-463.525
"111",2010-01-12 21:01:50,2357.15
"112",2010-01-12 21:01:51,-2169.6
"113",2010-01-12 21:01:52,-3044.3
"114",2010-01-12 21:01:53,476.475
"115",2010-01-12 21:01:54,1206.625
"116",2010-01-12 21:01:55,-851.5
"117",2010-01-12 21:01:56,-206
"118",2010-01-12 21:01:57,-1396.95
"119",2010-01-12 21:01:58,-580.075
"120",2010-01-12 21:01:59,485.2
"121",2010-01-12 21:02:00,-835.25
"122",2010-01-12 21:02:01,-278.025
"123",2010-01-12 21:02:02,-603.85
"124",2010-01-12 21:02:03,-1957.25
"125",2010-01-12 21:02:04,351.375
"126",2010-01-12 21:02:05,811.475
"127",2010-01-12 21:02:06,-760.075
"128",2010-01-12 21:02:07,-2445.325
"129",2010-01-12 21:02:08,1090.175
"130",2010-01-12 21:02:09,456.875
"131",2010-01-12 21:02:10,-2189.925
"132",2010-01-12 21:02:11,-845.225
"133",2010-01-12 21:02:12,214.1
"134",2010-01-12 21:02:13,277.45
"135",2010-01-12 21:02:14,-1739.8
"136",2010-01-12 21:02:15,580.1
"137",2010-01-12 21:02:16,257.45
"138",2010-01-12 21:02:17,-1436.775
"139",2010-01-12 21:02:18,-1798.7
"140",2010-01-12 21:02:19,-618.075
"141",2010-01-12 21:02:20,2036.925
"142",2010-01-12 21:02:21,-714.625
"143",2010-01-12 21:02:22,-2836.675
"144",2010-01-12 21:02:23,479.3
"145",2010-01-12 21:02:24,1642.925
"146",2010-01-12 21:02:25,-1819.2
"147",2010-01-12 21:02:26,-2273.6
"148",2010-01-12 21:02:27,320.55
"149",2010-01-12 21:02:28,851.375
"150",2010-01-12 21:02:29,-1368.375
"151",2010-01-12 21:02:30,-1080
"152",2010-01-12 21:02:31,579.1
"153",2010-01-12 21:02:32,-149.7
"154",2010-01-12 21:02:33,-617.875
"155",2010-01-12 21:02:34,-1725.975
"156",2010-01-12 21:02:35,-140.575
"157",2010-01-12 21:02:36,-478.275
"158",2010-01-12 21:02:37,100.65
"159",2010-01-12 21:02:38,-299.325
"160",2010-01-12 21:02:39,-939.825
"161",2010-01-12 21:02:40,-425.325
"162",2010-01-12 21:02:41,-1105.9
"163",2010-01-12 21:02:42,-650.6
"164",2010-01-12 21:02:43,914.075
"165",2010-01-12 21:02:44,-418.025
"166",2010-01-12 21:02:45,-1862.075
"167",2010-01-12 21:02:46,257.975
"168",2010-01-12 21:02:47,-1412.725
"169",2010-01-12 21:02:48,490.925
"170",2010-01-12 21:02:49,-1166.575
"171",2010-01-12 21:02:50,-426.275
"172",2010-01-12 21:02:51,1519.7
"173",2010-01-12 21:02:52,-1478.8
"174",2010-01-12 21:02:53,-2962.125
"175",2010-01-12 21:02:54,364.9
"176",2010-01-12 21:02:55,809.175
"177",2010-01-12 21:02:56,-363.55
"178",2010-01-12 21:02:57,-405.175
"179",2010-01-12 21:02:58,-317.25
"180",2010-01-12 21:02:59,-1910.45
"181",2010-01-12 21:03:00,-810.825
"182",2010-01-12 21:03:01,240.25
"183",2010-01-12 21:03:02,526.925
"184",2010-01-12 21:03:03,-2100.6
"185",2010-01-12 21:03:04,-1162.75
