"","DateTime","DR.SDD..BHZ.M"
"1",2010-01-12 21:00:00,940.148
"2",2010-01-12 21:00:10,362.512
"3",2010-01-12 21:00:20,160.318
"4",2010-01-12 21:00:30,276.812
"5",2010-01-12 21:00:40,-49.496
"6",2010-01-12 21:00:50,-351.406
"7",2010-01-12 21:01:00,-267.034
"8",2010-01-12 21:01:10,-50.724
"9",2010-01-12 21:01:20,201.038
"10",2010-01-12 21:01:30,463.332
"11",2010-01-12 21:01:40,51.212
"12",2010-01-12 21:01:50,-472.558
"13",2010-01-12 21:02:00,-743.55
"14",2010-01-12 21:02:10,-971.538
"15",2010-01-12 21:02:20,-1510.41
"16",2010-01-12 21:02:30,-1366.93
"17",2010-01-12 21:02:40,-457.358
"18",2010-01-12 21:02:50,386.672
"19",2010-01-12 21:03:00,515.326
"20",2010-01-12 21:03:10,659.79
"21",2010-01-12 21:03:20,586.238
"22",2010-01-12 21:03:30,435.196
"23",2010-01-12 21:03:40,158.99
"24",2010-01-12 21:03:50,308.854
"25",2010-01-12 21:04:00,175.462
"26",2010-01-12 21:04:10,-844.736
"27",2010-01-12 21:04:20,-1538.886
"28",2010-01-12 21:04:30,-1496.182
"29",2010-01-12 21:04:40,-1217.922
"30",2010-01-12 21:04:50,-797.376
"31",2010-01-12 21:05:00,-791.828
"32",2010-01-12 21:05:10,-1006.188
"33",2010-01-12 21:05:20,-1100.282
"34",2010-01-12 21:05:30,-2080.884
"35",2010-01-12 21:05:40,-2658.33
"36",2010-01-12 21:05:50,-1501.012
"37",2010-01-12 21:06:00,-47.628
"38",2010-01-12 21:06:10,832.304
"39",2010-01-12 21:06:20,872.49
"40",2010-01-12 21:06:30,276.4
"41",2010-01-12 21:06:40,-758.27
"42",2010-01-12 21:06:50,-1530.412
"43",2010-01-12 21:07:00,-2349.244
"44",2010-01-12 21:07:10,-2939.254
"45",2010-01-12 21:07:20,-2997.162
"46",2010-01-12 21:07:30,-2497.008
"47",2010-01-12 21:07:40,-2186.474
"48",2010-01-12 21:07:50,-1880.568
"49",2010-01-12 21:08:00,-879.32
"50",2010-01-12 21:08:10,-285.898
"51",2010-01-12 21:08:20,-666.044
"52",2010-01-12 21:08:30,-869.59
"53",2010-01-12 21:08:40,-99.466
"54",2010-01-12 21:08:50,-126.064
"55",2010-01-12 21:09:00,-1019.072
"56",2010-01-12 21:09:10,-2198.686
