"","DateTime","PR.MPR..BHZ.M"
"1",2010-01-12 21:00:00,-5450.7619047619
"2",2010-01-12 21:00:01,-4868.45
"3",2010-01-12 21:00:02,-6332.75
"4",2010-01-12 21:00:03,-6519.75
"5",2010-01-12 21:00:04,-5007.5
"6",2010-01-12 21:00:05,-5143.35
"7",2010-01-12 21:00:06,-5431.05
"8",2010-01-12 21:00:07,-6189.35
"9",2010-01-12 21:00:08,-5588.4
"10",2010-01-12 21:00:09,-5172.55
"11",2010-01-12 21:00:10,-4732.9
"12",2010-01-12 21:00:11,-5758.45
"13",2010-01-12 21:00:12,-6227.3
"14",2010-01-12 21:00:13,-5153.25
"15",2010-01-12 21:00:14,-5148.85
"16",2010-01-12 21:00:15,-5786.2
"17",2010-01-12 21:00:16,-5323.5
"18",2010-01-12 21:00:17,-5738.25
"19",2010-01-12 21:00:18,-5872.85
"20",2010-01-12 21:00:19,-5375.45
"21",2010-01-12 21:00:20,-5340.65
"22",2010-01-12 21:00:21,-6469.7
"23",2010-01-12 21:00:22,-5652.15
"24",2010-01-12 21:00:23,-5329.1
"25",2010-01-12 21:00:24,-5953
"26",2010-01-12 21:00:25,-5637.35
"27",2010-01-12 21:00:26,-5921.7
"28",2010-01-12 21:00:27,-5750.95
"29",2010-01-12 21:00:28,-5299
"30",2010-01-12 21:00:29,-6030.8
"31",2010-01-12 21:00:30,-6061.45
"32",2010-01-12 21:00:31,-5479.45
"33",2010-01-12 21:00:32,-5349.3
"34",2010-01-12 21:00:33,-5835.8
"35",2010-01-12 21:00:34,-5714.9
"36",2010-01-12 21:00:35,-5729.15
"37",2010-01-12 21:00:36,-5658.2
"38",2010-01-12 21:00:37,-5725.25
"39",2010-01-12 21:00:38,-5409.9
"40",2010-01-12 21:00:39,-5802.55
"41",2010-01-12 21:00:40,-5735.8
"42",2010-01-12 21:00:41,-5520.2
"43",2010-01-12 21:00:42,-5711
"44",2010-01-12 21:00:43,-5514.85
"45",2010-01-12 21:00:44,-6136
"46",2010-01-12 21:00:45,-6273.35
"47",2010-01-12 21:00:46,-5180.55
"48",2010-01-12 21:00:47,-5044.9
"49",2010-01-12 21:00:48,-6008.5
"50",2010-01-12 21:00:49,-5984.05
"51",2010-01-12 21:00:50,-5683.15
"52",2010-01-12 21:00:51,-5521.35
"53",2010-01-12 21:00:52,-5459.7
"54",2010-01-12 21:00:53,-5404.35
"55",2010-01-12 21:00:54,-6123.75
"56",2010-01-12 21:00:55,-5838.7
"57",2010-01-12 21:00:56,-4951.15
"58",2010-01-12 21:00:57,-6079.3
"59",2010-01-12 21:00:58,-5554.85
"60",2010-01-12 21:00:59,-5581.85
"61",2010-01-12 21:01:00,-6078.15
"62",2010-01-12 21:01:01,-4832
"63",2010-01-12 21:01:02,-6116.75
"64",2010-01-12 21:01:03,-5883.2
"65",2010-01-12 21:01:04,-5200.4
"66",2010-01-12 21:01:05,-5963.45
"67",2010-01-12 21:01:06,-5552.15
"68",2010-01-12 21:01:07,-5609.75
"69",2010-01-12 21:01:08,-5879.7
"70",2010-01-12 21:01:09,-5618.2
"71",2010-01-12 21:01:10,-5335.1
"72",2010-01-12 21:01:11,-6070.75
"73",2010-01-12 21:01:12,-5972.65
"74",2010-01-12 21:01:13,-5121.05
"75",2010-01-12 21:01:14,-5730.75
"76",2010-01-12 21:01:15,-5780.25
"77",2010-01-12 21:01:16,-5903.3
"78",2010-01-12 21:01:17,-5304.45
"79",2010-01-12 21:01:18,-5560.65
"80",2010-01-12 21:01:19,-5975.9
"81",2010-01-12 21:01:20,-5256.75
"82",2010-01-12 21:01:21,-5536.7
"83",2010-01-12 21:01:22,-6053.45
"84",2010-01-12 21:01:23,-5225.3
"85",2010-01-12 21:01:24,-5710.95
"86",2010-01-12 21:01:25,-5611.3
"87",2010-01-12 21:01:26,-5960.7
"88",2010-01-12 21:01:27,-5258.85
"89",2010-01-12 21:01:28,-5618.3
"90",2010-01-12 21:01:29,-6220.75
"91",2010-01-12 21:01:30,-5195.95
"92",2010-01-12 21:01:31,-5243.2
"93",2010-01-12 21:01:32,-6191.2
"94",2010-01-12 21:01:33,-5792.6
"95",2010-01-12 21:01:34,-5358
"96",2010-01-12 21:01:35,-5593.8
"97",2010-01-12 21:01:36,-5177.9
"98",2010-01-12 21:01:37,-6380.1
"99",2010-01-12 21:01:38,-5560.25
"100",2010-01-12 21:01:39,-5166.5
"101",2010-01-12 21:01:40,-6080.75
"102",2010-01-12 21:01:41,-5758.85
"103",2010-01-12 21:01:42,-5270.5
"104",2010-01-12 21:01:43,-5638.5
"105",2010-01-12 21:01:44,-6004.85
"106",2010-01-12 21:01:45,-5844
