"","DateTime","PR.PCDR..BHZ.M"
"1",2010-01-12 21:00:00,1016.6
"2",2010-01-12 21:00:01,458.1
"3",2010-01-12 21:00:02,386.75
"4",2010-01-12 21:00:03,369.65
"5",2010-01-12 21:00:04,1176.55
"6",2010-01-12 21:00:05,800.7
"7",2010-01-12 21:00:06,315.85
"8",2010-01-12 21:00:07,348.4
"9",2010-01-12 21:00:08,898.2
"10",2010-01-12 21:00:09,778.35
"11",2010-01-12 21:00:10,499.55
"12",2010-01-12 21:00:11,183.6
"13",2010-01-12 21:00:12,575.75
"14",2010-01-12 21:00:13,1187.05
"15",2010-01-12 21:00:14,308.35
"16",2010-01-12 21:00:15,368.9
"17",2010-01-12 21:00:16,821.65
"18",2010-01-12 21:00:17,631.25
"19",2010-01-12 21:00:18,541.1
"20",2010-01-12 21:00:19,398.75
"21",2010-01-12 21:00:20,717.2
"22",2010-01-12 21:00:21,683.75
"23",2010-01-12 21:00:22,769.4
"24",2010-01-12 21:00:23,591.2
"25",2010-01-12 21:00:24,333.8
"26",2010-01-12 21:00:25,585.55
"27",2010-01-12 21:00:26,779.8
"28",2010-01-12 21:00:27,443.45
"29",2010-01-12 21:00:28,469.2
"30",2010-01-12 21:00:29,522.35
"31",2010-01-12 21:00:30,703.8
"32",2010-01-12 21:00:31,623.05
"33",2010-01-12 21:00:32,344.05
"34",2010-01-12 21:00:33,800.1
"35",2010-01-12 21:00:34,692.9
"36",2010-01-12 21:00:35,282.05
"37",2010-01-12 21:00:36,612.35
"38",2010-01-12 21:00:37,1079.5
"39",2010-01-12 21:00:38,735.1
"40",2010-01-12 21:00:39,366.1
"41",2010-01-12 21:00:40,389.15
"42",2010-01-12 21:00:41,725.15
"43",2010-01-12 21:00:42,1223.05
"44",2010-01-12 21:00:43,435.75
"45",2010-01-12 21:00:44,583.35
"46",2010-01-12 21:00:45,61.05
"47",2010-01-12 21:00:46,1141.4
"48",2010-01-12 21:00:47,1283.95
"49",2010-01-12 21:00:48,312.8
"50",2010-01-12 21:00:49,240
"51",2010-01-12 21:00:50,507.45
"52",2010-01-12 21:00:51,1244.2
"53",2010-01-12 21:00:52,836.1
"54",2010-01-12 21:00:53,247.65
"55",2010-01-12 21:00:54,334.15
"56",2010-01-12 21:00:55,653.45
"57",2010-01-12 21:00:56,1079.15
"58",2010-01-12 21:00:57,579.3
"59",2010-01-12 21:00:58,643
"60",2010-01-12 21:00:59,243.1
"61",2010-01-12 21:01:00,743.45
"62",2010-01-12 21:01:01,1159.45
"63",2010-01-12 21:01:02,276.6
"64",2010-01-12 21:01:03,472.65
"65",2010-01-12 21:01:04,739.1
"66",2010-01-12 21:01:05,234
"67",2010-01-12 21:01:06,764.5
"68",2010-01-12 21:01:07,496.8
"69",2010-01-12 21:01:08,695
"70",2010-01-12 21:01:09,253.9
"71",2010-01-12 21:01:10,681.45
"72",2010-01-12 21:01:11,366.4
"73",2010-01-12 21:01:12,765.25
"74",2010-01-12 21:01:13,420.7
"75",2010-01-12 21:01:14,478.4
"76",2010-01-12 21:01:15,602.7
"77",2010-01-12 21:01:16,328.75
"78",2010-01-12 21:01:17,646.75
"79",2010-01-12 21:01:18,971.35
"80",2010-01-12 21:01:19,213
"81",2010-01-12 21:01:20,276.1
"82",2010-01-12 21:01:21,686.25
"83",2010-01-12 21:01:22,1142.95
"84",2010-01-12 21:01:23,216.25
"85",2010-01-12 21:01:24,403.8
"86",2010-01-12 21:01:25,876.1
"87",2010-01-12 21:01:26,911.55
"88",2010-01-12 21:01:27,627.65
"89",2010-01-12 21:01:28,410.85
"90",2010-01-12 21:01:29,230.7
"91",2010-01-12 21:01:30,975.1
"92",2010-01-12 21:01:31,1138.15
"93",2010-01-12 21:01:32,261.1
"94",2010-01-12 21:01:33,369.85
"95",2010-01-12 21:01:34,1033.05
"96",2010-01-12 21:01:35,582.25
"97",2010-01-12 21:01:36,472.05
"98",2010-01-12 21:01:37,840.1
"99",2010-01-12 21:01:38,499.5
"100",2010-01-12 21:01:39,758.4
"101",2010-01-12 21:01:40,331.35
"102",2010-01-12 21:01:41,494.05
"103",2010-01-12 21:01:42,1061.5
"104",2010-01-12 21:01:43,383.3
"105",2010-01-12 21:01:44,562.7
"106",2010-01-12 21:01:45,599.05
"107",2010-01-12 21:01:46,687.2
"108",2010-01-12 21:01:47,684.2
"109",2010-01-12 21:01:48,632.2
"110",2010-01-12 21:01:49,449.85
"111",2010-01-12 21:01:50,716.3
"112",2010-01-12 21:01:51,806.15
"113",2010-01-12 21:01:52,356.15
"114",2010-01-12 21:01:53,422.7
"115",2010-01-12 21:01:54,936.3
"116",2010-01-12 21:01:55,568.3
"117",2010-01-12 21:01:56,362.15
"118",2010-01-12 21:01:57,469.4
"119",2010-01-12 21:01:58,811.5
"120",2010-01-12 21:01:59,695.85
"121",2010-01-12 21:02:00,361.5
"122",2010-01-12 21:02:01,459.35
"123",2010-01-12 21:02:02,952.8
"124",2010-01-12 21:02:03,601.2
"125",2010-01-12 21:02:04,479.2
"126",2010-01-12 21:02:05,581.6
"127",2010-01-12 21:02:06,360.7
"128",2010-01-12 21:02:07,1122.2
"129",2010-01-12 21:02:08,521.15
"130",2010-01-12 21:02:09,599.55
"131",2010-01-12 21:02:10,27.1
"132",2010-01-12 21:02:11,940.85
"133",2010-01-12 21:02:12,698.2
"134",2010-01-12 21:02:13,635.85
"135",2010-01-12 21:02:14,493
"136",2010-01-12 21:02:15,476.85
"137",2010-01-12 21:02:16,657.55
"138",2010-01-12 21:02:17,869.35
"139",2010-01-12 21:02:18,873.3
"140",2010-01-12 21:02:19,312.55
"141",2010-01-12 21:02:20,444.3
"142",2010-01-12 21:02:21,882.15
"143",2010-01-12 21:02:22,905.35
"144",2010-01-12 21:02:23,394.05
"145",2010-01-12 21:02:24,528.25
"146",2010-01-12 21:02:25,396.75
