"","network","station","location","channel","latitude","longitude","elevation","depth","azimuth","dip","instrument","scale","scalefreq","scaleunits","samplerate","starttime","endtime","snclId","distance"
"1","CU","ANWB","","BHZ",17.66853,-61.785568,39,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2007-09-07 00:00:00,2010-02-10 18:35:00,"CU.ANWB..BHZ",9.5925989775762
"2","CU","BBGH","","BHZ",13.1434,-59.5588,180,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2006-09-06 18:12:00,2010-02-10 18:27:42,"CU.BBGH..BHZ",13.101906446087
"3","CU","BCIP","","BHZ",9.1665,-79.837303,61,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2006-12-02 15:44:00,2010-02-10 18:35:00,"CU.BCIP..BHZ",13.0169096375062
"4","CU","GRGR","","BHZ",12.1324,-61.653999,195,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2006-12-12 11:41:00,2010-02-10 18:40:00,"CU.GRGR..BHZ",11.8206847884556
"5","CU","GRTK","","BHZ",21.51149,-71.132698,12,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2007-12-18 00:00:00,2010-02-09 17:00:00,"CU.GRTK..BHZ",2.53414120430097
"6","CU","GTBY","","BHZ",19.9268,-75.110802,79.2,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2007-08-27 15:26:00,2010-02-10 18:40:00,"CU.GTBY..BHZ",3.93799083264602
"7","CU","MTDJ","","BHZ",18.226049,-77.534538,925,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2007-12-08 00:00:00,2010-02-10 18:40:00,"CU.MTDJ..BHZ",6.29232061972028
"8","CU","SDDR","","BHZ",18.9821,-71.287804,589,0,0,-90,"Streckeisen STS-2 Standard-gain",2436090110,0.05,"M/S",40,2006-08-30 00:00:00,2010-02-10 18:28:49,"CU.SDDR..BHZ",0
"9","DR","SDD","","BHZ",18.4632,-69.916924,34,0,0,-90,"DL24-KS2000",509961984,1,"M/S",50,2009-05-17 00:00:00,2013-01-01 00:00:00,"DR.SDD..BHZ",1.46579984458998
"10","G","FDF","00","BHZ",14.734971,-61.146313,467,0,0,-90,"STRECKEISEN STS2",2516640000,0.03,"M/S",20,2009-07-10 00:00:00,2599-12-31 23:59:59,"G.FDF.00.BHZ",10.9949053859377
"11","G","HDC","00","BHZ",10.00207,-84.111389,1186,0,0,-90,"STRECKEISEN STS2",2516640000,0.03,"M/S",20,2008-10-10 00:00:00,2599-12-31 23:59:59,"G.HDC.00.BHZ",15.6551994894069
"12","GE","BOAB","","BHZ",12.4493,-85.665901,381,0,0,-90,"Trillium-40 seismometer",1.5e+09,0.1,"M/S",20,2008-01-15 00:00:00,2599-12-31 23:59:59,"GE.BOAB..BHZ",15.7926295841259
"13","II","JTS","00","BHZ",10.2908,-84.952499,340,0,0,-90,"Streckeisen STS-1 Seismometer with Metrozet E300",5401150000,0.05,"M/S",20,2009-08-22 20:33:13,2010-08-19 16:59:59,"II.JTS.00.BHZ",16.1945233067548
"14","II","JTS","10","BHZ",10.2908,-84.952499,340,0,0,-90,"Streckeisen STS-2 Seismometer",2445609980,0.05,"M/S",40,2009-08-22 20:33:13,2011-08-27 23:59:59,"II.JTS.10.BHZ",16.1945233067548
"15","IU","BBSR","00","BHZ",32.3713,-64.696297,-1.3,31.4,0,-90,"Guralp CMG3-T Seismometer (borehole)",33520900100,0.02,"M/S",40,2008-08-01 00:00:00,2011-09-19 17:45:00,"IU.BBSR.00.BHZ",14.9237609593242
